name,age,net_worth,country,self_made
Abnhlvts Pmugpl,31,30.04,UK,False
Abni Qhasmhcww,31,82.97,Brazil,True
Abnja Zgnej,56,133.39,United States,False
Abnjg Ounzusufl,51,114.2,United States,False
Abnnwvn Tmglpv,69,107.4,India,True
Abnp Fbmhj,80,52.55,UK,True
Abnu Qhdfdiz,63,22.97,China,False
Abnxeaji Jkqtodv,71,110.71,UK,True
Abojod Oibnzbwqu,35,135.58,United States,True
Abolxg Iegqashr,48,70.54,India,True
Abooush Nolbouno,41,66.7,France,True
Aboq Adqxgr,47,93.56,UK,False
Aborhn Kegvy,60,30.89,UK,True
Abpdzpvo Xpztnjfe,84,88.67,UK,False
Abpfgeoi Ojlazkz,43,62.86,India,True
Abpnh Fvrgz,65,8.77,India,False
Abppytd Djhzy,75,96.04,United States,False
Abps Lzrzxkgaa,60,27.7,China,False
Abpuprf Ekirfolxf,82,101.66,France,True
Abqi Npayqsgdw,43,129.06,United States,True
Abqmq Cebgmbiy,55,22.78,United States,True
Abqsvm Ezywdvi,45,69.51,France,False
Abrael Idemmwv,76,131.29,United States,False
Abrfmh Zgasjsxiv,54,4.38,France,False
Abrp Kgudzyh,63,93.7,Germany,False
Abscql Vkfon,60,33.57,Brazil,False
Absliwz Tkpen,88,33.15,India,False
Absq Daafnfpn,58,56.11,Brazil,True
Abtaulc Vikevkihb,70,38.8,United States,False
Abtjbcy Fakvqfqv,81,111.88,United States,False
Abtvta Hhioglii,36,98.96,France,True
Abtz Wvslozura,53,96.98,France,True
Abuady Jcufn,47,27.05,UK,True
Abueqzaj Skrtipact,89,90.15,Brazil,True
Abufwlzw Gubdnakh,36,32.97,India,False
Abukzc Owyempcts,57,11.17,France,False
Aburngt Dukltrblv,31,129.74,Germany,True
Abutplze Jtzffr,66,7.38,Germany,False
Abveuhq Cfuzrsldn,87,77.71,United States,True
Abvlslf Wxazkktge,76,85.49,Germany,True
Abvpdxmb Iukgzwgqc,79,93.31,Brazil,False
Abvzihf Kcuhlrktj,80,137.47,China,False
Abwec Cqupmgjm,46,18.71,India,True
Abwjirw Rccudkneh,49,44.13,France,True
Abwkqehb Nxths,64,94.41,China,False
Abwljdn Viaosi,81,30.28,United States,False
Abww Rrhnhjapx,43,111.57,Germany,True
Abwwdjd Dlplnpkb,54,112.74,Germany,False
Abwyzvk Vpfmlp,30,97.84,United States,True
Abxo Xhkuewa,44,71.84,UK,False
Abxpojl Tprlzjgga,59,71.6,France,False
Abxrcfs Mxvlcqmw,82,56.23,UK,False
Abxs Qiuhyo,30,34.18,France,True
Abxwd Kngcdxrr,77,19.74,Brazil,True
Abxzffu Nubihqovo,46,31.94,China,False
Abyagu Vjdpotal,43,121.14,United States,True
Abygds Cghtwbvz,60,76.35,France,False
Abyi Yuxwrdq,67,104.93,Brazil,False
Abyjpxs Duzevhsoq,70,104.89,India,False
Abykk Lquzb,31,9.65,Brazil,False
Abymim Zqlnajjsp,32,29.23,France,True
Abzghgk Bmhrxbi,82,51.29,France,False
Abznm Ucvonhih,77,124.08,France,True
Abzoyv Mwyopo,50,129.47,UK,False
Abzuga Vbhqwe,62,117.8,France,True
Abzv Tlsloci,47,78.41,UK,False
Abzxndvj Rnfqa,78,36.7,UK,True
Abzy Ojdgwu,69,127.47,Germany,False
Abzy Yvkbnvkcg,53,4.74,France,False
Abzyr Yqbwfhe,58,74.5,UK,False
Acac Atizo,81,136.99,United States,False
Acafyju Ahpeiklfv,86,51.81,UK,True
Acajxeti Gieao,72,113.35,India,True
Acamkqoj Hvcymgmc,35,84.36,India,False
Acamved Varrxzz,82,46.15,France,False
Acao Mrymn,50,39.13,France,True
Acaveztt Flbcao,75,120.25,Germany,False
Acavn Cgxrpjavy,39,79.82,Germany,False
Acbiucw Ijqgdfmiw,72,56.6,China,False
Acbjldg Ptvam,32,69.33,United States,False
Acbyjw Rbrhjg,66,29.25,China,False
Accacx Estevjlry,32,19.11,India,True
Acccbvsj Bsiyog,82,69.9,France,False
Accedhi Tqkmtblmo,72,116.84,China,False
Acckbfah Gncsw,66,144.14,China,True
Acct Jtvwetqc,81,56.93,UK,False
Acddkoa Epsbbxxpd,77,98.51,United States,True
Acdkqse Erxps,31,37.35,Germany,False
Acdn Exovlh,60,122.23,Brazil,False
Acdqtn Hydglzra,34,101.37,UK,True
Acdsmjlb Vzxznq,38,31.17,China,False
Acdy Zcaqg,33,33.05,China,True
Acecn Knmhcn,37,37.02,United States,True
Acencs Ordfnnuoy,90,95.79,Brazil,False
Aceqo Mykrb,36,133.38,India,False
Acere Ahetvytg,67,68.42,France,True
Acesi Xyfgql,79,140.85,Brazil,True
Aceylpix Lmmppp,81,43.69,France,False
Acfoscg Whulj,59,35.36,United States,False
Acfqlsc Hqpiuzfyf,68,28.11,UK,True
Acftyj Tstiyvn,67,14.22,UK,False
Acfww Onpuyz,79,74.09,United States,True
Acfzmso Fsskmkxz,79,95.03,France,True
Acga Qltcoqo,50,74.97,France,True
Acgpgeom Xudtyqqab,31,73.39,Germany,True
Acgrk Kfnbvrqv,79,16.72,France,True
Acgrz Hmqqt,47,90.27,China,True
Acgvohcp Artftum,75,70.37,Germany,True
Achb Udmbmsmq,61,60.16,China,False
Achcfb Uvprg,38,114.23,Germany,True
Achitjt Pgvebgdh,88,11.15,India,False
Achkg Fxvaz,80,114.16,India,True
Achlmdcb Ysicl,35,53.68,UK,True
Acijcc Rpgmztsl,84,37.14,United States,False
Aciojrus Jvrvrlzq,75,94,UK,True
Acizdm Gkmsuxu,50,35.18,France,False
Acjfutf Gjzwjxvg,65,14.34,UK,False
Acjiyr Gkdhxyl,38,116.35,France,False
Acjkffgi Vmeluo,62,103.65,Germany,False
Ackl Nboizknog,85,5.56,India,True
Ackm Rzlgaue,90,98.61,UK,False
Acknyij Jspwroq,52,91.39,France,False
Ackwxj Oidzbtwh,36,1.33,United States,True
Aclabk Trgrl,30,41.77,China,False
Aclo Euwcexyul,77,123.16,United States,False
Aclpxtaj Xlldjova,35,137.29,Germany,False
Acls Uhlxtxn,48,96.66,India,True
Aclvvni Xurzopt,56,102.44,UK,False
Aclxha Ivkpd,45,22.14,Brazil,False
Acmc Splroazq,45,147.39,India,True
Acmeyd Ocyux,84,65.1,Germany,False
Acmizxq Yuvrvr,87,140.24,United States,True
Acmxol Mhmbfma,32,116.33,China,False
Acmyy Yseegftxp,87,23.44,France,True
Acnbc Ifsioxu,55,40.48,Germany,False
Acnhci Znzrl,51,131.64,China,True
Acnqbi Zcxrjlro,40,49.38,China,True
Acnr Dhhwkv,41,95.68,Germany,True
Acoevjn Ayxama,30,143.61,India,False
Acolthmc Rwixtkcy,36,98.4,Germany,False
Acoshx Zpxdczhaq,65,85.29,India,False
Acotglz Bnwnvbb,57,101.05,France,True
Acovlffx Wcjdb,46,46.42,United States,True
Acpaa Ixusegrpw,46,56.84,China,True
Acpbv Osdumeej,46,149,India,True
Acpqgvj Vfuogo,88,120.63,Germany,False
Acprx Ksbjl,79,133.6,India,False
Acps Fxedpmo,83,145.62,Brazil,True
Acpsi Qcdsbtfd,87,4.94,Brazil,True
Acqawm Ogxodmz,65,103.88,France,True
Acqeqg Oifsy,36,106.56,France,True
Acqhsz Hrnqvy,88,5.21,Germany,True
Acqnund Nlflrh,65,17.01,United States,False
Acrnsqh Dhxma,60,44.19,United States,False
Acrpqrmb Dggzg,82,131.4,China,False
Acrrxc Pnamn,70,142.67,Germany,True
Acrt Sfhsi,34,60.67,France,True
Acrw Zplqjc,70,64.62,UK,True
Acrx Mrzqewql,32,113.43,UK,True
Acscckw Gforbvsm,39,42.07,UK,True
Acshecsq Wtrduzdyl,32,41.99,India,True
Acsmrje Bvioudf,39,35.98,Brazil,True
Acstbnnu Goeidpsn,68,137.31,France,False
Acsv Kjtsrw,36,143.11,Brazil,False
Acsv Wluflo,34,68.88,China,True
Acsxlzn Joackaim,42,102.16,Brazil,True
Actjhgce Mhzrqztnu,64,38.16,United States,False
Actqitdn Xzmmqxq,73,19.23,United States,True
Actvfc Dcyxxzao,48,91.41,Germany,False
Actwq Kiuzn,36,40.95,United States,True
Actyqdr Fdiqgxc,59,147.87,UK,True
Actzek Yyzggbmv,44,10,France,True
Acucr Mjxyxn,69,103.26,India,True
Acuh Aebwuoeeu,41,140.85,Germany,True
Acut Deref,63,98.82,United States,True
Acuua Htdkucpo,40,57.56,United States,False
Acuuv Mpvhbvl,62,118.34,China,False
Acvqnh Kgoehwh,76,9.81,China,True
Acwb Puaelsecr,66,100.18,UK,True
Acwcr Abpmccn,64,92.67,United States,False
Acwextq Qfpqqtqo,78,80.01,Brazil,False
Acwhl Neveyy,31,127.28,China,True
Acwm Ldkqa,79,112.8,China,False
Acwmbwo Ksrkt,33,22.28,France,True
Acwoud Dvtxfh,66,76.11,Germany,True
Acwy Etzaf,40,1.99,India,True
Acxdbni Qzahbqs,31,94.86,India,True
Acxewmsj Cmepozpti,70,9.81,UK,False
Acxljz Ejeik,86,30.27,France,True
Acxoe Ovpnr,74,142.37,France,False
Acxzt Lrieitype,71,2.25,India,False
Acygk Uaabu,60,25.47,India,False
Acyo Vvlbgpyfa,67,76.74,France,False
Acyrowoe Kszge,76,51.6,United States,False
Acyyki Vvlbsjvrj,87,28.29,Brazil,True
Acyz Fvrtbl,90,1.69,Germany,True
Acyz Kavsox,36,37.39,France,False
Acyznbfl Rmmosq,38,31.53,China,False
Aczhi Xkqijwlt,80,96.33,China,True
Aczkecp Qlqchu,52,137.11,Germany,True
Aczla Djdavrvob,59,121.57,Brazil,False
Aczm Iqjofwm,87,139.99,Germany,True
Aczxqv Igakjua,47,46.78,India,False
Adahagkq Mpcoo,81,52.59,UK,True
Adakl Plqzvh,85,92.23,China,False
Adalc Vetyx,71,17.98,China,False
Adam Lseah,48,13.42,India,False
Adanfkm Prvakd,89,78.07,China,True
Adaqxukm Xppuq,66,27.82,China,False
Adbb Evlsg,75,138.56,China,True
Adbcxfn Owqwijjsa,50,120.77,China,True
Adbh Sywvpjk,67,17.89,United States,True
Adbpf Spunsaz,87,13.35,France,True
Adbqzssj Ijtbuvh,87,75.53,India,True
Adbrcysi Pockui,37,147.46,United States,True
Adbv Hhqsoozp,75,40.22,India,False
Adbxhy Bzdwcd,31,100.18,Germany,False
Adcdmqk Vllsb,33,49.13,Brazil,False
Adcfayf Cbqvjlbw,72,131.19,China,False
Adchl Gzejnqh,70,129.01,China,True
Adcimseu Kvpas,81,85.83,France,False
Adcsijxm Vzrdfjxk,73,3.66,China,True
Adcxc Lrwuio,66,113.5,Brazil,True
Addax Momypz,76,148.98,United States,False
Addvinl Csrmv,47,131.82,China,True
Addxuju Cqqls,85,130.62,China,False
Addzweei Jioqe,46,39.95,United States,False
Adeaipbt Rbtquq,81,132.39,Germany,True
Adecs Wfnzfy,65,144.05,China,True
Adehgx Fboza,34,122.96,United States,False
Adeqridj Lmobcgxoi,45,73.66,China,False
Adetr Ftkgyaz,42,127.59,UK,False
Adeuvcw Pgwtcg,39,22.23,India,True
Adey Ybfzcizwd,52,3.69,India,True
Adfab Gbcbwc,52,123.95,France,True
Adfbnfkr Wedyxcjlu,86,39.42,Brazil,False
Adfcb Rbfcrn,55,13.28,India,False
Adfjfyii Nwnatphm,41,16.37,France,False
Adfo Houmdw,41,91.25,Brazil,False
Adfqf Gkfxhhioj,33,21.24,Brazil,False
Adfxp Fcvahhlgi,81,66.27,United States,True
Adgbryc Jkxqcy,82,19.28,Germany,False
Adgbx Gxrfuu,74,98.53,United States,False
Adgfww Uhkql,35,5.68,France,False
Adggkfam Nzxdquw,52,97.75,Brazil,True
Adgp Hohdgpav,84,14.66,China,True
Adgqd Ikejv,30,95.77,Germany,False
Adgu Pjamau,74,40.98,United States,True
Adgxgx Nghvgfgur,44,47.39,China,True
Adhaxxlk Oqtpyvf,77,21.18,UK,True
Adhccnm Yakjyybef,31,136.29,France,False
Adhczrl Oghig,61,62.67,France,False
Adhd Qusorsti,35,95,UK,True
Adhg Mmzfgeszj,46,112.58,China,False
Adhhsnio Pgbqnnv,32,64.61,Germany,False
Adhi Sqmkre,74,67.81,India,True
Adhi Zbyls,34,89.38,United States,False
Adhivct Pwxdjap,66,96.95,France,True
Adhroyh Tiokadtze,51,116.08,United States,True
Adhubmjj Gtndvmghe,82,86.99,France,False
Adideb Uglko,47,121.94,United States,True
Adiovy Rsmkr,55,100.12,France,False
Adjdzz Yjxsgwzsq,31,112.49,France,True
Adjm Nocrabbi,31,69.94,United States,False
Adjr Msqin,40,19.47,Brazil,False
Adjwljx Brjupwqmr,61,86.15,United States,False
Adkaa Vmxrvikx,30,139.41,UK,True
Adkas Sdaqgetu,79,10.24,UK,True
Adkmwsa Dinblsbon,82,115.73,United States,True
Adkot Ppsorqvg,60,94.6,India,False
Adkw Otbqw,49,78.22,France,True
Adkzebv Lgtinfpng,61,127.37,France,False
Adlbzjmo Zqrew,68,145.49,India,False
Adlcfl Dmrgzgvdz,56,114.04,United States,True
Adlfkx Tdgzbp,79,88.97,India,True
Adlfqcd Loutzcyyp,47,134.55,France,False
Adlhrn Vrdkjt,51,121.32,China,False
Adlkimle Fxdvf,76,9.19,United States,True
Adln Ghrxe,71,56.2,China,False
Adlnldd Zalpc,50,30.05,United States,True
Adlrxusn Fcujkmvul,46,136.09,UK,True
Adlxeq Bpmyjbng,80,54.13,China,True
Adlzq Zcoki,71,113.34,France,True
Admiwyki Doinsg,38,47.07,China,True
Admqw Nboei,47,36.83,UK,True
Admtll Ynleeo,78,12.63,China,True
Admxqgvj Mlogrt,58,64.94,UK,True
Adndfx Gmyar,31,117.17,UK,False
Adneipz Eigeytt,76,89.95,Brazil,False
Adnfvb Obiof,45,125.03,United States,True
Adngrsk Ofxveq,64,54.15,China,True
Adns Swciw,59,107.77,Germany,False
Adnt Hwqxjm,34,147.65,France,False
Adnu Ubvydxahy,73,114.42,United States,False
Adogyn Hctbt,42,74.64,United States,True
Adok Dpumyqfdt,82,82.41,France,False
Adom Lqnlwfc,82,44.38,Brazil,True
Adotser Yqocgtzsk,84,132.66,United States,False
Adoy Vsbtdvca,53,95.87,Brazil,False
Adozcsnj Ebpcdypbz,68,75.73,China,True
Adozt Agmjqiwtb,51,46.25,France,True
Adpe Uxkclpr,35,30.71,India,False
Adpexzms Sglcvnkey,52,10.87,Brazil,True
Adpg Zhwiy,32,107.52,United States,False
Adphy Txuan,59,115.19,Brazil,True
Adqebz Fwkba,82,17.49,France,False
Adqgry Vduij,46,141.33,China,False
Adqih Xmhpfm,74,12.75,United States,True
Adqxby Kfoqfc,66,2.18,Brazil,False
Adqyrx Cgpuzdtl,80,82.89,India,True
Adrdltp Xplrzbet,47,26.81,United States,True
Adrfu Sdbdxxxc,88,84.91,United States,True
Adrhzr Atsojkni,54,74.75,France,False
Adrjvci Ihqxothe,83,24.15,India,False
Adrmdxv Jdjuq,44,29.78,United States,False
Adrojczp Shdtke,80,120.41,Germany,False
Adscusi Ckmvqr,72,146.18,Brazil,False
Adsgnxpr Onlcl,74,69.42,Brazil,True
Adsie Syqhgfz,58,16.7,UK,True
Adsni Mbmrfj,45,33.5,Germany,True
Adspto Ilbroybf,61,77.99,Germany,False
Adsqdq Luxpk,76,113.13,India,True
Adsrntzb Xbwwe,89,143.74,Germany,False
Adsw Yzbgty,90,78.14,Brazil,True
Adsxj Jjsvfkq,66,146.97,Germany,True
Adthpu Cxmbawvb,59,110.85,France,True
Adti Ogoendeoj,80,27.65,UK,True
Adtmafev Ineeuuls,57,10.4,UK,True
Adtn Iavybpoq,87,131.87,United States,True
Adto Tzseud,84,124.06,Germany,True
Adtpdj Tmohgq,74,142.9,China,True
Adtxoa Astqj,30,73.88,Germany,False
Adubdtg Ccgolbfv,69,135.08,India,False
Aduefjua Upcirbjw,88,118.08,UK,True
Aduyiozp Eujkfhk,53,37.47,Brazil,True
Advc Nmcvr,35,2.67,Germany,False
Advehhkq Oykmk,44,124.83,France,True
Advobhp Qjpzkufq,39,101.7,Germany,True
Advz Elxbcrny,89,139.76,UK,False
Adwclbog Uehsbqaku,89,19.18,India,False
Adwdog Niqbosu,30,133.55,China,False
Adxccn Rgxfcw,89,120.86,United States,False
Adxk Lvwmuuj,82,80.34,Germany,False
Adxkgk Bobxkbrh,80,19.4,United States,False
Adxpewhm Zsyuqdlis,34,135.21,Germany,False
Adxqimwr Cpptils,76,51.14,United States,False
Adxrll Xxmeatn,76,140.67,UK,True
Adxytqow Tjrhsrmax,81,134.56,France,True
Adyivgfa Jaqgu,65,149.82,Germany,False
Adyrlqrd Mnkllzdfl,43,84.46,Germany,False
Adza Onfdqrnxq,61,88.09,Germany,True
Adzbzwiu Xsflqw,85,104.75,Brazil,False
Adzc Nlvedm,33,121.78,China,True
Adzmzol Aozfxu,65,14.49,France,True
Adzpnmir Ujoauyl,84,7.34,Germany,False
Adzq Slgigglx,88,124.29,France,True
Adzt Wwvjdafxs,43,136.05,United States,False
Adzxy Ipemgr,40,22.62,France,False
Adzy Eaxwtiaf,80,132.77,Germany,True
